OBJECTID,SITEID,NAME,WEB_PAGE,BOAT FACILITY,CAMPING,HUNTING,PDFMAP,HUNT_ACCESS,ACRES,LATITUDE,LONGITUDE,MGMT_ID,x,y
38761,281507,Raynolds' Pass,https://myfwp.mt.gov/fishMT/fas/39753440,Ramp (Gravel),Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753440.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,170,44.82871,-111.47932,39753440,-12409822.7834,5594596.2693
38762,2040479,Bridger,https://myfwp.mt.gov/fishMT/fas/39754495,Ramp (Gravel),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754495.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,3,45.29623,-108.90049,39754495,-12122748.2988,5668279.0421
38763,2045575,Island Lake,https://myfwp.mt.gov/fishMT/fas/39754499,No Boat Facilities,Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754499.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,43,48.23289,-114.9762,39754499,-12799093.422,6145688.7976
38764,4127651,Blacktail Meadows,https://myfwp.mt.gov/fishMT/fas/39754531,No Boat Facilities,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754531.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,14,45.22375,-112.6378,39754531,-12538784.0864,5656815.77
38765,2326145,Reed & Bowles,https://myfwp.mt.gov/fishMT/fas/39754517,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754517.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,50,47.09463,-109.4653,39754517,-12185622.9251,5957535.3735
38766,63214332,C. Ben White Memorial,https://myfwp.mt.gov/fishMT/fas/75108293,No Boat Facilities,No,,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/75108293.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,,45.9216589,-114.1422349,75108293,-12706256.9171,5767804.9015
38767,281598,York's Islands,https://myfwp.mt.gov/fishMT/fas/39753472,Ramp (Concrete),Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753472.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,16,46.26687,-111.49356,39753472,-12411407.9609,5823219.2948
38768,2475009,Darby Bridge,https://myfwp.mt.gov/fishMT/fas/39754519,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754519.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,4,46.01456,-114.16391,39754519,-12708669.8516,5782683.4247
38769,2971777,Sunny Brook Springs,https://myfwp.mt.gov/fishMT/fas/39754529,No Boat Facilities,No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754529.pdf,,75,45.30887,-110.89089,39754529,-12344318.7671,5670280.1734
38770,7621929,Piedmont Pond,https://myfwp.mt.gov/fishMT/fas/39754605,No Boat Facilities,Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754605.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,21,45.84368,-112.11519,39754605,-12480607.606,5755335.5314
